country;Year;Population
Iceland;1990;255019
India;2023;1428627663
India;2022;1417173173
India;2020;1396387127
India;2015;1322866505
India;2010;1240613620
India;2000;1059633675
India;1990;870452165
Indonesia;2023;277534122
Indonesia;2022;275501339
Indonesia;2020;271857970
Indonesia;2015;259091970
Indonesia;2010;244016173
Indonesia;2000;214072421
Indonesia;1990;182159874
Iran;2023;89172767
Iran;2022;88550570
Iran;2020;87290193
Iran;2015;81790841
Iran;2010;75373855
Iran;2000;65544383
Iran;1990;55793629
Iraq;2023;45504560
Iraq;2022;44496122
Iraq;2020;42556984
Iraq;2015;37757813
Iraq;2010;31264875
Iraq;2000;24628858
Iraq;1990;17658381
Ireland;2023;5056935
Ireland;2022;5023109
Ireland;2020;4946119
Ireland;2015;4665760
Ireland;2010;4524585
Ireland;2000;3768950
Ireland;1990;3485374
Isle of Man;2023;84710
Isle of Man;2022;84519
Isle of Man;2020;84046
Isle of Man;2015;83593
Isle of Man;2010;83828
Isle of Man;2000;75562
Isle of Man;1990;68865
Israel;2023;9174520
Israel;2022;9038309
Israel;2020;8757489
Israel;2015;8007778
Israel;2010;7328445
Israel;2000;6116958
Israel;1990;4803254
Italy;2023;58870762
Italy;2022;59037474
Italy;2020;59500579
Italy;2015;60232906
Italy;2010;59822450
Italy;2000;56966397
Italy;1990;56756561
Ivory Coast;2023;28873034
Ivory Coast;2022;28160542
Ivory Coast;2020;26811790
Ivory Coast;2015;23596741
Ivory Coast;2010;21120042
Ivory Coast;2000;16799670
Ivory Coast;1990;11910540
Jamaica;2023;2825544
Jamaica;2022;2827377
Jamaica;2020;2820436
Jamaica;2015;2794445
Jamaica;2010;2733896
Jamaica;2000;2612205
Jamaica;1990;2392030
Japan;2023;123294513
Japan;2022;123951692
Japan;2020;125244761
Japan;2015;127250933
Japan;2010;128105431
Japan;2000;126803861
Japan;1990;123686321
Jersey;2023;111802
Jersey;2022;110778
Jersey;2020;108319
Jersey;2015;100561
Jersey;2010;96151
Jersey;2000;86192
Jersey;1990;82874
Jordan;2023;11337052
Jordan;2022;11285869
Jordan;2020;10928721
Jordan;2015;9494246
Jordan;2010;6931258
Jordan;2000;5056174
Jordan;1990;3480587
Kazakhstan;2023;19606633
Kazakhstan;2022;19397998
Kazakhstan;2020;18979243
Kazakhstan;2015;17835909
Kazakhstan;2010;16627837
Kazakhstan;2000;15236253
Kazakhstan;1990;16866563
Kenya;2023;55100586
Kenya;2022;54027487
Kenya;2020;51985780
Kenya;2015;46851488
Kenya;2010;41517895
Kenya;2000;30851606
Kenya;1990;23162269
Kiribati;2023;133515
Kiribati;2022;131232
Kiribati;2020;126463
Kiribati;2015;116707
Kiribati;2010;107995
Kiribati;2000;88826
Kiribati;1990;75124
Kuwait;2023;4310108
Kuwait;2022;4268873
Kuwait;2020;4360444
Kuwait;2015;3908743
Kuwait;2010;2943356
Kuwait;2000;1934901
Kuwait;1990;1674938
Kyrgyzstan;2023;6735347
Kyrgyzstan;2022;6630623
Kyrgyzstan;2020;6424874
Kyrgyzstan;2015;5914980
Kyrgyzstan;2010;5483774
Kyrgyzstan;2000;4935182
Kyrgyzstan;1990;4394734
Laos;2023;7633779
Laos;2022;7529475
Laos;2020;7319399
Laos;2015;6787419
Laos;2010;6323418
Laos;2000;5430853
Laos;1990;4314443
Latvia;2023;1830211
Latvia;2022;1850651
Latvia;2020;1897052
Latvia;2015;1991955
Latvia;2010;2101530
Latvia;2000;2392530
Latvia;1990;2689391
Lebanon;2023;5353930
Lebanon;2022;5489739
Lebanon;2020;5662923
Lebanon;2015;6398940
Lebanon;2010;4995800
Lebanon;2000;4320642
Lebanon;1990;3593700
Lesotho;2023;2330318
Lesotho;2022;2305825
Lesotho;2020;2254100
Lesotho;2015;2118521
Lesotho;2010;2022747
Lesotho;2000;1998630
Lesotho;1990;1798997
Liberia;2023;5418377
Liberia;2022;5302681
Liberia;2020;5087584
Liberia;2015;4612329
Liberia;2010;4019956
Liberia;2000;2895224
Liberia;1990;2209731
Libya;2023;6888388
Libya;2022;6812341
Libya;2020;6653942
Libya;2015;6192235
Libya;2010;6491988
Libya;2000;5154790
Libya;1990;4236983
Liechtenstein;2023;39584
Liechtenstein;2022;39327
Liechtenstein;2020;38756
Liechtenstein;2015;37355
Liechtenstein;2010;35926
Liechtenstein;2000;33026
Liechtenstein;1990;28765
Lithuania;2023;2718352
Lithuania;2022;2750055
Lithuania;2020;2820267
Lithuania;2015;2963765
Lithuania;2010;3139019
Lithuania;2000;3599637
Lithuania;1990;3785847
Luxembourg;2023;654768
Luxembourg;2022;647599
Luxembourg;2020;630399
Luxembourg;2015;569408
Luxembourg;2010;507070
Luxembourg;2000;435628
Luxembourg;1990;381267
Macau;2023;704149
Macau;2022;695168
Macau;2020;676283
Macau;2015;615239
Macau;2010;557297
Macau;2000;431896
Macau;1990;350227
Madagascar;2023;30325732
Madagascar;2022;29611714
Madagascar;2020;28225177
Madagascar;2015;24850912
Madagascar;2010;21731053
Madagascar;2000;16216431
Madagascar;1990;11882762
Malawi;2023;20931751
Malawi;2022;20405317
Malawi;2020;19377061
Malawi;2015;16938942
Malawi;2010;14718422
Malawi;2000;11229387
Malawi;1990;9539665
Malaysia;2023;34308525
Malaysia;2022;33938221
Malaysia;2020;33199993
Malaysia;2015;31068833
Malaysia;2010;28717731
Malaysia;2000;22945150
Malaysia;1990;17517054
Maldives;2023;521021
Maldives;2022;523787
Maldives;2020;514438
Maldives;2015;435582
Maldives;2010;361575
Maldives;2000;282507
Maldives;1990;224957
Mali;2023;23293698
Mali;2022;22593590
Mali;2020;21224040
Mali;2015;18112907
Mali;2010;15529181
Mali;2000;11239101
Mali;1990;8945026
Malta;2023;535064
Malta;2022;533286
Malta;2020;515357
Malta;2015;456579
Malta;2010;418755
Malta;2000;399212
Malta;1990;365392
Marshall Islands;2023;41996
Marshall Islands;2022;41569
Marshall Islands;2020;43413
Marshall Islands;2015;49410
Marshall Islands;2010;53416
Marshall Islands;2000;54224
Marshall Islands;1990;46047
Martinique;2023;366981
Martinique;2022;367507
Martinique;2020;370391
Martinique;2015;383515
Martinique;2010;392181
Martinique;2000;432543
Martinique;1990;374271
Mauritania;2023;4862989
Mauritania;2022;4736139
Mauritania;2020;4498604
Mauritania;2015;3946220
Mauritania;2010;3419461
Mauritania;2000;2695003
Mauritania;1990;2006027
Mauritius;2023;1300557
Mauritius;2022;1299469
Mauritius;2020;1297828
Mauritius;2015;1293153
Mauritius;2010;1283330
Mauritius;2000;1215930
Mauritius;1990;1090290
Mayotte;2023;335995
Mayotte;2022;326101
Mayotte;2020;305587
Mayotte;2015;249545
Mayotte;2010;211786
Mayotte;2000;159215
Mayotte;1990;92659
Mexico;2023;128455567
Mexico;2022;127504125
Mexico;2020;125998302
Mexico;2015;120149897
Mexico;2010;112532401
Mexico;2000;97873442
Mexico;1990;81720428
Micronesia;2023;115224
Micronesia;2022;114164
Micronesia;2020;112106
Micronesia;2015;109462
Micronesia;2010;107588
Micronesia;2000;111709
Micronesia;1990;98603
Moldova;2023;3435931
Moldova;2022;3272996
Moldova;2020;3084847
Moldova;2015;3277388
Moldova;2010;3678186
Moldova;2000;4251573
Moldova;1990;4480199
Monaco;2023;36297
Monaco;2022;36469
Monaco;2020;36922
Monaco;2015;36760
Monaco;2010;33178
Monaco;2000;32465
Monaco;1990;30329
Mongolia;2023;3447157
Mongolia;2022;3398366
Mongolia;2020;3294335
Mongolia;2015;2964749
Mongolia;2010;2702520
Mongolia;2000;2450979
Mongolia;1990;2161433
Montenegro;2023;626485
Montenegro;2022;627082
Montenegro;2020;629048
Montenegro;2015;633966
Montenegro;2010;631044
Montenegro;2000;633324
Montenegro;1990;621442
Montserrat;2023;4386
Montserrat;2022;4390
Montserrat;2020;4500
Montserrat;2015;5059
Montserrat;2010;4938
Montserrat;2000;5138
Montserrat;1990;10805
Morocco;2023;37840044
Morocco;2022;37457971
Morocco;2020;36688772
Morocco;2015;34680458
Morocco;2010;32464865
Morocco;2000;28554415
Morocco;1990;24570814
Mozambique;2023;33897354
Mozambique;2022;32969518
Mozambique;2020;31178239
Mozambique;2015;26843246
Mozambique;2010;23073723
Mozambique;2000;17768505
Mozambique;1990;13303459
Myanmar;2023;54577997
Myanmar;2022;54179306
Myanmar;2020;53423198
Myanmar;2015;51483949
Myanmar;2010;49390988
Myanmar;2000;45538332
Myanmar;1990;40099553
Namibia;2023;2604172
Namibia;2022;2567012
Namibia;2020;2489098
Namibia;2015;2282704
Namibia;2010;2099271
Namibia;2000;1819141
Namibia;1990;1369011
Nauru;2023;12780
Nauru;2022;12668
Nauru;2020;12315
Nauru;2015;11185
Nauru;2010;10241
Nauru;2000;10377
Nauru;1990;9598
Nepal;2023;30896590
Nepal;2022;30547580
Nepal;2020;29348627
Nepal;2015;27610325
Nepal;2010;27161567
Nepal;2000;24559500
Nepal;1990;19616530
Netherlands;2023;17618299
Netherlands;2022;17564014
Netherlands;2020;17434557
Netherlands;2015;17041107
Netherlands;2010;16617117
Netherlands;2000;15899135
Netherlands;1990;14944548
New Caledonia;2023;292991
New Caledonia;2022;289950
New Caledonia;2020;286403
New Caledonia;2015;283032
New Caledonia;2010;261426
New Caledonia;2000;221537
New Caledonia;1990;177264
New Zealand;2023;5228100
New Zealand;2022;5185288
New Zealand;2020;5061133
New Zealand;2015;4590590
New Zealand;2010;4346338
New Zealand;2000;3855266
New Zealand;1990;3397389
Nicaragua;2023;7046310
Nicaragua;2022;6948392
Nicaragua;2020;6755895
Nicaragua;2015;6298598
Nicaragua;2010;5855734
Nicaragua;2000;5123222
Nicaragua;1990;4227820
Niger;2023;27202843
Niger;2022;26207977
Niger;2020;24333639
Niger;2015;20128124
Niger;2010;16647543
Niger;2000;11622665
Niger;1990;8370647
Nigeria;2023;223804632
Nigeria;2022;218541212
Nigeria;2020;208327405
Nigeria;2015;183995785
Nigeria;2010;160952853
Nigeria;2000;122851984
Nigeria;1990;95214257
Niue;2023;1935
Niue;2022;1934
Niue;2020;1942
Niue;2015;1847
Niue;2010;1812
Niue;2000;2074
Niue;1990;2533
North Korea;2023;26160821
North Korea;2022;26069416
North Korea;2020;25867467
North Korea;2015;25258015
North Korea;2010;24686435
North Korea;2000;23367059
North Korea;1990;20799523
North Macedonia;2023;2085679
North Macedonia;2022;2093599
North Macedonia;2020;2111072
North Macedonia;2015;2107962
North Macedonia;2010;2093828
North Macedonia;2000;2037936
North Macedonia;1990;2044174
Northern Mariana Islands;2023;49796
Northern Mariana Islands;2022;49551
Northern Mariana Islands;2020;49587
Northern Mariana Islands;2015;51514
Northern Mariana Islands;2010;54087
Northern Mariana Islands;2000;80338
Northern Mariana Islands;1990;48002
Norway;2023;5474360
Norway;2022;5434319
Norway;2020;5379839
Norway;2015;5190356
Norway;2010;4889741
Norway;2000;4491202
Norway;1990;4241636
Oman;2023;4644384
Oman;2022;4576298
Oman;2020;4543399
Oman;2015;4191776
Oman;2010;2881914
Oman;2000;2344253
Oman;1990;1804524
Pakistan;2023;240485658
Pakistan;2022;235824862
Pakistan;2020;227196741
Pakistan;2015;210969298
Pakistan;2010;194454498
Pakistan;2000;154369924
Pakistan;1990;115414069
Palau;2023;18058
Palau;2022;18055
Palau;2020;17972
Palau;2015;17794
Palau;2010;18540
Palau;2000;19726
Palau;1990;15293
Palestine;2023;5371230
Palestine;2022;5250072
Palestine;2020;5019401
Palestine;2015;4484614
Palestine;2010;3992278
Palestine;2000;3139954
Palestine;1990;2124609
Panama;2023;4468087
Panama;2022;4408581
Panama;2020;4294396
Panama;2015;3957099
Panama;2010;3623617
Panama;2000;3001731
Panama;1990;2449968
Papua New Guinea;2023;10329931
Papua New Guinea;2022;10142619
Papua New Guinea;2020;9749640
Papua New Guinea;2015;8682174
Papua New Guinea;2010;7583269
Papua New Guinea;2000;5508297
Papua New Guinea;1990;3864972
